,amt,state,city_pop,job,is_fraud,month,age
1139065,221.58,47,149,428,0,4,41.85753424657534
150875,28.76,38,3688,133,0,3,31.424657534246574
1247694,70.9,43,3202,271,0,6,22.22739726027397
808958,83.81,48,828,40,0,12,28.317808219178083
873625,203.38,9,26551,327,0,12,42.989041095890414
534500,36.0,43,194500,446,0,8,28.684931506849313
381896,58.78,12,223,184,0,6,80.24931506849315
466886,5.17,11,4878,339,0,7,52.676712328767124
455134,73.35,19,76383,215,0,7,34.31780821917808
825080,221.06,10,298,173,0,12,56.67123287671233
858468,1.07,1,67082,338,0,12,56.88767123287671
856294,16.73,17,301,390,0,12,52.78630136986301
201494,7.65,5,61,378,0,4,79.4931506849315
168131,133.3,9,276002,341,0,3,84.82465753424657
244692,8.96,34,1382480,466,0,5,28.495890410958904
194077,8.14,17,6841,470,0,4,19.85753424657534
1063739,48.81,43,1766,349,0,3,44.23561643835617
211890,40.85,40,1514,78,0,4,52.37534246575343
751179,58.6,2,1679,367,0,11,33.56712328767123
1187902,33.4,18,8512,3,0,5,68.73424657534247
338390,74.63,34,6120,70,0,6,42.69315068493151
547783,11.82,47,149,428,0,8,41.1972602739726
621785,97.86,34,6120,70,0,9,42.97808219178082
782361,82.32,43,2807,82,0,11,88.9041095890411
1181904,29.86,43,498,269,0,5,29.476712328767125
48145,222.42,15,78968,194,0,1,51.0027397260274
532607,2.72,40,20478,286,0,8,22.216438356164385
1201536,26.28,43,1143,409,0,5,58.202739726027396
745904,2.57,22,765,242,0,11,47.45753424657534
475410,357.19,49,1925,444,0,7,53.484931506849314
507660,6.03,38,5507,400,0,8,46.06027397260274
635072,5.89,9,32891,474,0,9,32.64109589041096
447185,95.76,38,427,298,0,7,68.4931506849315
240283,59.05,14,324,415,0,4,42.9013698630137
876054,130.63,34,4056,193,0,12,29.50958904109589
678374,111.07,40,1352,168,0,10,27.03835616438356
730914,52.52,38,184,444,0,11,74.06027397260274
300869,7.45,36,1675,44,0,5,33.09041095890411
172919,80.53,43,2457,477,0,3,38.0986301369863
1252631,1.06,29,732,460,0,6,63.52054794520548
836470,69.38,43,5875,387,0,12,27.4027397260274
482008,514.86,5,565,294,0,7,40.94794520547945
1256992,55.06,49,571,4,0,6,52.76164383561644
673780,54.84,22,1126,204,0,10,64.31780821917808
576017,5.03,37,60,301,0,9,77.46575342465754
1250844,57.81,35,272134,59,0,6,56.26301369863014
856557,61.77,1,1089,286,0,12,48.153424657534245
296185,21.21,1,71463,384,0,5,30.30958904109589
1139359,78.13,4,105549,197,0,4,46.605479452054794
796646,5.46,4,128,143,0,12,53.81643835616438
567096,1.57,25,19685,196,0,8,34.701369863013696
356403,19.46,38,2054,320,0,6,55.9013698630137
962566,56.43,2,5161,147,0,1,26.81095890410959
1085508,166.54,2,7155,162,0,3,43.04109589041096
966784,10.32,5,648,97,0,1,50.37808219178082
971510,14.0,41,811,310,0,1,47.865753424657534
939785,126.06,35,338,381,0,1,31.473972602739725
562265,98.57,43,20328,422,0,8,34.20821917808219
834415,70.05,43,20328,422,0,12,34.5013698630137
686929,86.07,40,1523,395,0,10,35.4027397260274
1148256,78.54,23,140,149,0,4,78.34794520547945
670996,177.01,4,198,36,0,10,60.57808219178082
781237,90.76,5,525713,303,0,11,27.578082191780823
709302,17.12,15,1423,371,0,10,21.073972602739726
1044183,35.68,31,2456,419,0,3,26.008219178082193
480217,80.8,10,7420,340,0,7,62.57534246575342
785310,49.96,10,3430,140,0,12,69.73424657534247
330701,13.69,9,50835,178,0,6,33.36986301369863
586028,10.48,43,2526,340,0,9,48.846575342465755
895826,118.39,28,1190,121,0,12,71.53424657534246
817555,4.64,22,1126,204,0,12,64.46849315068494
204518,21.32,15,23727,97,0,4,37.202739726027396
443339,91.09,25,595,455,0,7,39.893150684931506
286121,6.88,40,2408,404,0,5,21.887671232876713
1238935,8.8,20,626,151,0,6,59.50684931506849
825211,39.36,40,333497,287,0,12,51.75890410958904
618217,67.08,15,910148,197,0,9,43.83561643835616
201157,8.15,34,45100,22,0,4,25.482191780821918
584905,8.55,37,60,301,0,9,77.47671232876712
924284,9.91,15,2304,397,0,12,64.47945205479452
264257,11.71,22,134056,354,0,5,62.63013698630137
949308,6.17,6,5438,270,0,1,55.1972602739726
219886,122.48,14,3458,55,0,4,33.38904109589041
1120192,2.53,34,165,308,0,4,74.6082191780822
1112626,33.26,23,5211,78,0,4,33.21643835616438
588971,71.16,14,639,287,0,9,37.12602739726027
421738,118.82,19,35299,177,0,7,44.21917808219178
495975,68.84,43,20328,422,0,8,34.14520547945205
1090102,85.77,38,21125,8,0,3,34.868493150684934
350497,107.96,49,630,196,0,6,59.912328767123284
1018115,45.33,40,2206,48,0,2,33.172602739726024
777169,2.26,43,248858,483,0,11,48.868493150684934
297909,82.07,17,344,71,0,5,52.19178082191781
857077,21.36,49,255,74,0,12,48.04931506849315
645457,14.24,35,118,352,0,10,61.92602739726028
930576,77.84,24,964,473,0,1,45.06301369863014
940264,73.13,2,4074,408,0,1,44.087671232876716
983883,52.34,37,1420,443,0,2,54.26849315068493
265810,55.07,48,9679,171,0,5,28.104109589041094
201480,7.52,23,140,149,0,4,77.31780821917808
12503,188.71,34,3255,195,0,1,40.53150684931507
1234281,145.62,9,79613,178,0,5,41.52602739726027
652027,5.9,37,1288,44,0,10,83.48493150684932
352880,16.54,37,1530,92,0,6,32.57534246575342
468722,2.81,16,2661,462,0,7,70.73972602739725
406287,78.77,27,5621,475,0,7,45.66301369863014
1155721,107.2,1,67082,338,0,4,57.25205479452055
359898,8.91,25,2870,71,0,6,20.295890410958904
1083490,5.91,4,54287,122,0,3,47.53972602739726
1114671,91.5,16,169,271,0,4,66.73698630136987
519368,6.54,18,1178,99,0,8,68.21095890410959
58399,92.7,29,1749,441,0,2,45.778082191780825
159149,69.05,14,1810,383,0,3,44.27945205479452
639072,92.35,43,1563,194,0,9,41.6
316915,53.42,50,635,358,0,6,45.915068493150685
970734,5.99,21,6025,12,0,1,24.783561643835615
466331,33.49,24,123373,171,0,7,26.671232876712327
484722,49.21,29,206,234,0,7,51.85753424657534
373683,17.66,45,104396,361,0,6,68.63287671232877
48643,394.31,25,1196,270,0,1,60.676712328767124
889331,87.72,38,198,417,0,12,41.18630136986302
63053,6.52,9,224256,327,0,2,33.463013698630135
817812,1.96,36,471,436,0,12,78.74520547945205
907854,7.87,48,9679,171,0,12,28.734246575342464
267664,45.42,27,3402,250,0,5,91.6109589041096
755623,6.12,15,1228,113,0,11,28.704109589041096
828533,90.7,43,686,333,0,12,39.38904109589041
1240761,40.16,32,8874,272,0,6,19.805479452054794
1272612,89.46,36,540,392,0,6,36.69315068493151
797405,91.2,29,1063,393,0,12,91.73150684931507
1008027,25.89,36,1760,315,0,2,48.11232876712329
375110,32.42,34,207,119,0,6,56.772602739726025
564716,23.03,43,1263321,136,0,8,60.20821917808219
430246,75.89,4,233717,492,0,7,53.175342465753424
684056,1.8,27,186140,177,0,10,36.71780821917808
937741,485.58,43,2395,334,0,1,26.15890410958904
797902,3.85,38,21125,8,0,12,34.54794520547945
285703,88.34,24,1019,15,0,5,40.33972602739726
1294713,444.29,50,110,10,0,6,47.12876712328767
1183009,13.3,1,27829,347,0,5,65.84657534246575
359765,69.59,30,477,308,0,6,31.18904109589041
265097,349.79,2,222,365,0,5,56.016438356164386
798525,45.31,48,1628,84,0,12,52.21095890410959
716155,42.54,44,2078,408,0,11,56.42739726027397
445272,107.87,23,1680,229,0,7,42.62739726027397
1119919,13.78,49,5512,187,0,4,40.07671232876712
216314,59.1,38,606,152,0,4,21.589041095890412
1224638,40.43,1,1089,286,0,5,48.5972602739726
105923,4.69,47,149,428,0,3,40.723287671232875
696513,116.4,38,606,152,0,10,22.101369863013698
841,176.63,9,224256,327,0,1,33.364383561643834
576503,3.78,32,641349,67,0,9,52.63835616438356
190020,58.98,12,695,6,0,4,64.77534246575343
883358,12.02,1,3395,140,0,12,40.945205479452056
1087689,2.24,45,5657,89,0,3,32.93698630136986
187670,26.47,15,1228,113,0,4,28.087671232876712
95329,2.29,40,46944,416,0,2,76.95342465753424
855905,32.65,31,804,249,0,12,54.76438356164383
722500,29.62,35,7646,291,0,11,31.156164383561645
673317,54.75,14,2135,130,0,10,58.73698630136986
59457,5.2,49,4575,434,0,2,27.306849315068494
813287,63.49,24,964,473,0,12,44.986301369863014
181848,51.28,37,1288,44,0,4,82.98356164383561
812990,1.95,34,17867,480,0,12,21.372602739726027
1011558,207.83,14,128354,452,0,2,28.106849315068494
622782,9.82,32,7268,465,0,9,31.153424657534245
786644,108.75,15,910148,0,0,12,32.21369863013699
638650,165.9,49,3994,46,0,9,82.95342465753424
933025,7.86,21,1643,195,0,1,43.76164383561644
965517,59.52,2,222,365,0,1,56.726027397260275
821997,87.34,18,71335,222,0,12,25.542465753424658
1262973,15.15,41,355,194,0,6,65.0
523300,81.81,50,27971,304,0,8,35.054794520547944
960330,62.75,22,4474,150,0,1,44.04657534246575
583784,57.59,15,5341,47,0,9,24.794520547945204
515378,22.21,40,20478,286,0,8,22.2
546249,4.81,13,129,63,0,8,53.72054794520548
1240494,60.62,38,645,323,0,6,46.07123287671233
957089,179.23,22,4474,150,0,1,44.04109589041096
499651,109.61,27,885,425,0,8,30.90684931506849
691318,141.39,9,14742,454,0,10,26.665753424657535
283808,75.68,38,606,152,0,5,21.66849315068493
98171,68.22,44,9772,274,0,2,29.279452054794522
438010,64.73,20,470,305,0,7,54.3041095890411
428771,7.36,28,454,355,0,7,46.98082191780822
1178921,94.04,31,825,272,0,5,28.85753424657534
397351,182.74,38,1526206,435,0,6,34.515068493150686
341285,99.33,40,333497,287,0,6,51.26027397260274
1231061,10.65,1,653,326,0,5,53.98082191780822
575787,1.36,40,20478,286,0,9,22.257534246575343
1292994,4.0,10,5726,199,0,6,72.9013698630137
425022,7.14,41,811,310,0,7,47.31232876712329
312658,2.56,9,88735,93,0,5,31.161643835616438
823474,37.22,38,632,120,0,12,30.69041095890411
508915,39.35,1,59744,72,0,8,35.52602739726027
618813,7.29,40,46944,416,0,9,77.52054794520548
370868,48.95,25,24645,410,0,6,53.0986301369863
288177,3.11,22,6951,263,0,5,33.945205479452056
422308,122.66,43,1563,194,0,7,41.37260273972603
989885,19.11,47,149,428,0,2,41.66301369863014
525299,37.01,22,765,242,0,8,47.202739726027396
614571,256.01,31,804,249,0,9,54.52054794520548
100071,22.39,45,31970,380,0,2,83.59726027397261
212917,2.26,19,2121,385,0,4,45.53972602739726
1104427,74.44,15,965,229,0,4,38.172602739726024
493468,18.11,1,1312,270,0,8,64.54520547945205
324637,8.63,20,718,389,0,6,34.23013698630137
460918,41.05,19,2121,385,0,7,45.8
677531,35.06,14,725,178,0,10,46.90958904109589
957423,14.16,48,1306,379,0,1,61.4
486792,49.93,43,26120,167,0,8,65.6109589041096
1156407,39.61,44,42384,206,0,4,27.345205479452055
317485,75.01,14,27020,476,0,6,32.88219178082192
219098,5.45,9,237282,343,0,4,69.56712328767124
831779,6.55,7,601723,321,0,12,49.42739726027397
301896,66.84,4,589,443,0,5,73.47945205479452
271416,65.8,38,737,317,0,5,32.07671232876712
761332,88.7,14,928,325,0,11,34.55068493150685
240295,79.97,40,13717,82,0,4,69.4986301369863
882342,3.03,43,1766,349,0,12,44.0
452993,41.42,36,1493,23,0,7,34.35342465753425
58521,34.03,20,19054,320,0,2,42.43561643835616
434463,72.06,12,222785,492,0,7,63.50958904109589
495160,44.5,1,190178,459,0,8,46.37260273972603
639693,31.61,22,6469,476,0,9,40.49315068493151
939005,59.2,43,2526,340,0,1,49.19178082191781
1214316,1.03,36,413574,49,0,5,51.964383561643835
244380,25.33,46,5895,411,0,5,43.83287671232877
762178,1.39,23,5211,78,0,11,32.84109589041096
929419,55.8,14,2135,374,0,1,15.668493150684931
254837,37.07,15,910148,197,0,5,43.46027397260274
166141,2.68,4,973849,406,0,3,63.83835616438356
580952,27.22,49,5512,187,0,9,39.46849315068493
1124644,46.95,1,3996,17,0,4,42.86027397260274
545343,35.26,38,4653,313,0,8,22.153424657534245
1173339,342.44,20,3766,348,0,5,36.24383561643835
793389,108.25,35,75903,277,0,12,62.701369863013696
400426,10.49,26,743,489,0,7,47.18904109589041
278745,55.26,1,2566,186,0,5,60.93424657534246
413187,38.05,38,823,207,0,7,37.035616438356165
1190576,57.05,20,5927,38,0,5,46.95616438356164
936876,6.72,27,238602,413,0,1,26.66849315068493
353731,7.76,32,641349,67,0,6,52.42465753424658
407956,6.23,47,759,483,0,7,62.843835616438355
549407,115.82,16,5760,74,0,8,40.92054794520548
358904,124.25,4,308,59,0,6,60.778082191780825
715746,3.27,43,4993,409,0,11,70.96986301369863
581232,8.98,17,230,103,0,9,22.09315068493151
570942,5.62,4,633,220,0,8,92.03835616438356
144171,96.65,49,836,200,0,3,37.57534246575342
877548,208.94,17,736284,175,0,12,67.76438356164384
1199252,63.33,41,1126,485,0,5,39.76986301369863
115641,284.78,45,3085,260,0,3,28.40821917808219
80666,130.88,43,686,333,0,2,38.57808219178082
752373,37.59,24,241,254,0,11,45.087671232876716
785476,231.99,19,21437,39,0,12,55.47123287671233
468143,52.96,47,149,428,0,7,41.12054794520548
885157,940.96,26,192,205,0,12,56.00547945205479
1100372,3.5,34,722,102,0,4,29.473972602739725
922857,52.77,50,19408,266,0,12,26.32054794520548
323931,4.51,4,4677,264,0,6,64.12054794520547
952807,2.81,44,302,404,0,1,30.019178082191782
254128,7.09,43,1766,349,0,5,43.36986301369863
650335,74.58,35,92985,348,0,10,51.38356164383562
10752,98.06,27,21134,133,0,1,34.863013698630134
472786,188.0,1,493806,306,0,7,39.06575342465754
431045,619.93,31,71485,268,0,7,45.010958904109586
410677,559.02,17,3263,433,0,7,89.40821917808219
1001016,62.7,50,241,146,0,2,39.19178082191781
85927,5.8,21,1643,195,0,2,42.88493150684931
624904,36.92,4,589,443,0,9,73.8027397260274
1197763,10.51,34,45100,22,0,5,26.572602739726026
1207870,69.52,18,1261,52,0,5,47.915068493150685
332293,4.67,47,14871,376,0,6,45.273972602739725
760218,88.0,12,7297,239,0,11,29.378082191780823
586261,2.42,36,540,392,0,9,35.92328767123288
562009,173.21,21,18760,280,0,8,86.46027397260274
896296,11.48,40,8333,30,0,12,25.47945205479452
435015,82.59,24,964,473,0,7,44.583561643835615
1201234,74.24,4,11256,344,0,5,47.61095890410959
120307,100.26,34,3833,296,0,3,48.446575342465756
135386,84.95,13,84106,251,0,3,48.12054794520548
1265428,5.07,16,163415,416,0,6,15.452054794520548
197036,31.47,29,331,456,0,4,68.69041095890411
974853,87.26,40,20478,286,0,1,22.671232876712327
548630,83.67,45,9815,121,0,8,44.15890410958904
950288,41.53,25,4573,188,0,1,31.93972602739726
504441,1133.81,4,633,220,0,8,91.97260273972603
312700,74.27,38,823,207,0,5,36.93698630136986
103401,55.08,12,568,93,0,3,49.635616438356166
595834,30.54,19,35299,177,0,9,44.391780821917806
786563,7.53,5,151815,205,0,12,31.92876712328767
142657,67.1,1,27829,347,0,3,64.7013698630137
100543,56.95,17,14228,11,0,2,47.961643835616435
1073580,20.09,40,4424,262,0,3,58.68219178082192
1087704,70.29,43,932,337,0,3,65.34246575342466
738023,71.96,36,1675,44,0,11,33.553424657534244
79168,22.86,47,759,483,0,2,62.465753424657535
732418,215.68,43,4090,436,0,11,42.66027397260274
1072579,76.07,32,641349,83,0,3,43.97260273972603
547708,36.75,26,192,205,0,8,55.66849315068493
680441,7.56,21,3228,269,0,10,23.81917808219178
455853,32.67,44,42384,206,0,7,26.575342465753426
783749,83.75,43,5875,387,0,11,27.36986301369863
887290,9.66,43,24536,300,0,12,36.21643835616438
432937,5.68,38,7565,248,0,7,67.3917808219178
930026,5.12,34,5950,388,0,1,48.54246575342466
834036,1.48,23,5211,78,0,12,32.893150684931506
997001,38.5,25,233060,230,0,2,47.52602739726027
377684,90.93,48,153,381,0,6,57.391780821917806
755243,4.06,31,71485,268,0,11,45.364383561643834
843608,13.04,35,2208,294,0,12,58.298630136986304
1058137,153.32,48,4306,38,0,3,30.424657534246574
1200086,84.91,43,1263321,136,0,5,60.92876712328767
1145129,173.17,2,5161,147,0,4,27.054794520547944
926391,4.37,17,502,75,0,1,59.95890410958904
215345,18.99,2,111,62,0,4,18.863013698630137
1237120,497.78,43,2457,477,0,5,39.26849315068493
1254248,9.06,49,21902,436,0,6,39.74246575342466
77822,28.24,22,765,242,0,2,46.70958904109589
103651,54.06,38,1102,208,0,3,29.665753424657535
111426,57.91,1,5901,114,0,3,46.63835616438356
391833,5.74,43,1595797,259,0,6,23.71232876712329
108131,60.56,5,320420,489,0,3,43.61917808219178
684782,76.84,27,186140,177,0,10,36.71780821917808
54498,755.48,24,1631,31,0,2,66.07945205479452
816521,2.43,43,1897,77,0,12,66.68219178082192
121013,54.88,47,149,428,0,3,40.74246575342466
299271,3.15,9,42619,179,0,5,43.66301369863014
938347,56.85,22,134056,135,0,1,39.67123287671233
804122,229.65,30,2971,66,0,12,71.6986301369863
108119,92.07,4,198,36,0,3,59.964383561643835
673222,23.65,34,397,368,0,10,88.14520547945206
1136618,3.63,27,12486,29,0,4,86.24657534246575
497655,14.01,14,1810,383,0,8,44.64109589041096
253434,100.07,46,1654,479,0,5,28.279452054794522
1051606,185.04,13,84106,251,0,3,49.11506849315069
543393,49.84,31,825,272,0,8,28.14246575342466
885463,92.63,3,1312922,107,0,12,38.18904109589041
367946,82.23,38,3684,209,0,6,43.46849315068493
501232,78.05,34,277,216,0,8,47.679452054794524
571073,110.52,27,6629,59,0,8,57.087671232876716
830572,49.07,38,2303,339,0,12,32.33972602739726
514825,80.58,38,2379,404,0,8,48.59178082191781
1247047,53.09,28,1190,121,0,6,71.97534246575343
110664,88.06,45,136895,4,0,3,79.5095890410959
231567,119.99,12,1195,477,0,4,45.153424657534245
432701,184.24,34,275,445,0,7,54.93698630136986
573259,8.57,15,910148,0,0,8,31.96164383561644
458502,503.23,15,910148,197,0,7,43.66849315068493
249393,132.56,16,215,353,0,5,50.48219178082192
476339,67.29,34,11250,269,0,7,41.97534246575343
634140,68.4,47,299480,454,0,9,34.75616438356165
1255128,41.09,2,4074,408,0,6,44.49315068493151
160328,10.51,46,4542,86,0,3,21.03013698630137
351331,64.36,22,765,242,0,6,47.035616438356165
944546,3.86,43,103927,136,0,1,57.583561643835615
478791,70.87,28,77,193,0,7,29.632876712328766
366050,182.37,10,5726,199,0,6,71.89315068493151
499320,50.9,38,2054,320,0,8,56.04109589041096
909949,7.68,2,376,121,0,12,81.36164383561643
301377,24.41,34,4895,5,0,5,60.61369863013699
80678,86.66,21,1892,42,0,2,63.00547945205479
378419,6.36,44,46,440,0,6,32.18904109589041
386876,551.05,30,3807,437,0,6,19.682191780821917
1026593,87.31,23,2916,45,0,3,84.73150684931507
20986,15.5,48,5196,81,0,1,41.0027397260274
702858,5.94,29,463,312,0,10,71.45479452054795
867425,50.45,2,4726,336,0,12,42.56164383561644
1119570,93.78,9,181438,350,0,4,86.12328767123287
815219,40.0,25,3451,195,0,12,35.57808219178082
223700,11.78,24,519,474,0,4,53.221917808219175
630159,56.82,37,42817,342,0,9,37.35068493150685
334780,177.03,43,18128,239,0,6,28.602739726027398
855828,588.8,25,3451,195,0,12,35.6
133392,9.77,2,1679,367,0,3,32.88767123287671
260827,2.92,40,1514,78,0,5,52.43561643835616
1235945,29.85,23,2916,45,0,5,84.98082191780821
442977,172.3,19,4680,191,0,7,33.3041095890411
449126,21.55,22,937,455,0,7,61.323287671232876
1183975,9.4,43,248858,483,0,5,49.31232876712329
827711,110.42,2,4726,336,0,12,42.534246575342465
50385,29.94,21,23045,473,0,1,60.45205479452055
760324,9.8,14,1512,94,0,11,16.553424657534247
1170252,41.22,35,2208,294,0,5,58.68493150684932
329535,37.53,45,976,155,0,6,19.97808219178082
661046,25.84,38,2303,339,0,10,32.16712328767123
1059667,72.65,37,28278,395,0,3,42.69315068493151
139887,39.43,22,6469,476,0,3,39.95616438356164
761390,198.2,34,4056,193,0,11,29.43013698630137
1036322,34.06,22,765,242,0,3,47.76164383561644
905291,79.3,4,190249,467,0,12,43.30684931506849
12208,56.96,43,20328,422,0,1,33.57534246575342
443014,4.18,34,17867,480,0,7,20.975342465753425
979666,59.73,22,372,188,0,2,24.578082191780823
358554,82.37,34,3487,383,0,6,59.463013698630135
836471,377.52,14,2135,374,0,12,15.605479452054794
855397,141.58,34,1304,257,0,12,49.553424657534244
53337,7.27,44,9772,274,0,2,29.208219178082192
1155193,33.68,17,344,71,0,4,53.11506849315069
210568,21.65,24,1847,447,0,4,30.493150684931507
325852,6.99,38,6508,478,0,6,37.97534246575343
75137,94.49,44,258,215,0,2,57.26027397260274
743811,2.43,35,31394,231,0,11,23.019178082191782
1149377,13.83,5,84861,286,0,4,88.18356164383562
1131882,123.53,34,2148,439,0,4,66.94520547945206
116246,7.22,29,732,460,0,3,62.26849315068493
272887,60.1,17,13422,95,0,5,57.73424657534247
1211454,3.02,43,4993,409,0,5,71.52054794520548
469453,2.71,2,37,265,0,7,61.605479452054794
1268012,7.45,36,1675,44,0,6,34.134246575342466
956189,7.33,25,2870,71,0,1,20.89041095890411
160605,174.93,22,6951,263,0,3,33.79178082191781
171497,48.12,27,186140,177,0,3,36.16438356164384
760265,9.92,34,11250,269,0,11,42.293150684931504
424205,194.62,25,19685,196,0,7,34.56164383561644
407820,1.37,22,24840,16,0,7,59.49315068493151
419776,79.19,48,5548,298,0,7,43.85205479452055
399347,142.57,23,914,217,0,6,74.97808219178083
1122773,130.43,43,53,198,0,4,27.832876712328765
488274,32.87,43,5875,387,0,8,27.03835616438356
278697,50.33,1,5901,114,0,5,46.843835616438355
57348,57.72,18,378909,123,0,2,41.97534246575343
368992,76.27,43,1263321,125,0,6,66.77260273972603
614284,4.51,11,1490,413,0,9,28.44931506849315
704912,4.88,34,1766,287,0,10,57.43561643835616
719362,81.0,2,2501,194,0,11,33.41917808219178
1143467,23.51,6,4720,52,0,4,42.95616438356164
1289356,86.71,34,1228,374,0,6,30.33150684931507
793645,83.18,40,1725,424,0,12,45.02191780821918
1086938,489.68,2,222,365,0,3,56.8986301369863
310784,9.59,20,3766,348,0,5,35.31232876712329
967198,51.35,38,166081,413,0,1,21.334246575342465
902184,57.26,43,23,115,0,12,50.31506849315068
638264,3.43,50,19408,266,0,9,26.063013698630137
411129,6.9,43,248858,483,0,7,48.465753424657535
1054466,9.56,47,149,428,0,3,41.75616438356165
69593,101.54,43,20328,422,0,2,33.66849315068493
125576,160.42,0,145,9,0,3,79.38630136986302
282755,110.62,43,911,30,0,5,49.364383561643834
1276080,10.84,49,571,4,0,6,52.78082191780822
16609,2.13,2,6434,356,0,1,51.40547945205479
1031635,138.06,34,722,102,0,3,29.39178082191781
4327,70.25,9,50835,178,0,1,32.94794520547945
434265,108.87,35,7646,291,0,7,30.843835616438355
1119049,76.68,2,11253,409,0,4,63.00547945205479
874352,124.51,48,5548,298,0,12,44.30684931506849
793306,27.36,35,92985,348,0,12,51.54520547945206
400253,48.43,22,128715,226,0,7,24.117808219178084
154638,128.36,34,397,368,0,3,87.58904109589041
232779,4.21,42,158701,258,0,4,41.16986301369863
401079,55.46,36,83,45,0,7,60.967123287671235
681382,121.3,4,973849,215,0,10,22.75890410958904
1066039,128.36,15,1228,113,0,3,29.035616438356165
